 # q,I,sigma
 # errors rescaled with constant factor:    1.12195468    
 # factor also written to scale_factor.d
   3.72556895E-02 -0.928315997       1.22161794    
   1.63768005       1.02254903       3.38193513E-02
   1.64237297       1.04473197       3.35740671E-02
   1.64706695      0.993479788       3.38998474E-02
   1.65175998      0.942339301       3.26093547E-02
   1.65645301      0.912193775       3.33050899E-02
   1.66114700      0.977512777       3.33769061E-02
   1.66584003      0.909739792       3.35131362E-02
   1.67053294      0.897974491       3.27977650E-02
   1.67522705      0.921382606       3.28825377E-02
   1.67991996      0.914076507       3.31091955E-02
   1.68461299      0.904772997       3.33357304E-02
   1.68930697      0.918329120       3.29114161E-02
   1.69400001      0.968408227       3.25696580E-02
   1.69869304      0.923533201       3.28481831E-02
   1.70338702      0.924650490       3.30168828E-02
   1.70808005      0.795334101       3.28120030E-02
   1.71277297      0.984823823       3.21826972E-02
   1.71746695      0.897625029       3.29587311E-02
   1.72215998      0.860431075       3.24413665E-02
   1.72685301      0.893303514       3.32060568E-02
   1.73154700      0.851602018       3.18763815E-02
   1.73624003      0.841755092       3.22753713E-02
   1.74093294      0.894992292       3.26698162E-02
   1.74562597      0.854671001       3.27781215E-02
   1.75031996      0.849823892       3.19697261E-02
   1.75501299      0.876561224       3.19892168E-02
   1.75970602      0.824316323       3.24861072E-02
   1.76440001      0.881949008       3.23074237E-02
   1.76909304      0.871989787       3.20427902E-02
   1.77378595      0.819992304       3.18711549E-02
   1.77848005      0.814392805       3.22462581E-02
   1.78317297      0.792308688       3.20837311E-02
   1.78786600      0.830538273       3.21263410E-02
   1.79255998      0.810982227       3.16264443E-02
   1.79725301      0.806548476       3.21142711E-02
   1.80194604      0.791739821       3.17927860E-02
   1.80664003      0.863352120       3.24088149E-02
   1.81133294      0.732219398       3.11834048E-02
   1.81602597      0.825165808       3.15746553E-02
   1.82071996      0.781155586       3.18804644E-02
   1.82541299      0.840956628       3.22036333E-02
   1.83010602      0.748813808       3.10330875E-02
   1.83480000      0.805900574       3.14646922E-02
   1.83949304      0.750252485       3.16599347E-02
   1.84418595      0.784596980       3.19186896E-02
   1.84888005      0.809895396       3.10983062E-02
   1.85357296      0.756091893       3.12219895E-02
   1.85826600      0.736951590       3.15478072E-02
   1.86295998      0.751456618       3.15000117E-02
   1.86765301      0.777548492       3.10336147E-02
   1.87234604      0.752954125       3.11238747E-02
   1.87704003      0.730931103       3.12418826E-02
   1.88173294      0.795795918       3.13572064E-02
   1.88642597      0.740497530       3.12950164E-02
   1.89111996      0.763517797       3.07998229E-02
   1.89581299      0.764778078       3.09196245E-02
   1.90050602      0.738704085       3.13345231E-02
   1.90520000      0.689522922       3.12785693E-02
   1.90989304      0.710821509       3.03406511E-02
   1.91458595      0.750237226       3.09637934E-02
   1.91928005      0.784681082       3.09807826E-02
   1.92397296      0.721742272       3.09339389E-02
   1.92866600      0.728178501       3.04112881E-02
   1.93335998      0.760887682       3.05878613E-02
   1.93805301      0.746632695       3.06001585E-02
   1.94274604      0.700619876       3.06664221E-02
   1.94744003      0.654265285       3.02901287E-02
   1.95213306      0.745711803       3.02415378E-02
   1.95682597      0.729405582       3.05211172E-02
   1.96151996      0.711173415       3.05815339E-02
   1.96621299      0.722073972       3.02732550E-02
   1.97090602      0.659857213       3.01730093E-02
   1.97559905      0.701836824       3.03816348E-02
   1.98029304      0.658785701       3.05245724E-02
   1.98498595      0.612887681       3.05985417E-02
   1.98967898      0.685793281       2.99127698E-02
   1.99437296      0.729627609       3.05244718E-02
   1.99906600      0.651599407       3.01470570E-02
   2.00375891      0.668211699       3.06051839E-02
   2.00845289      0.662609696       3.10489405E-02
   2.01314592      0.682505071       3.20279002E-02
   2.01783895      0.665431082       3.21619175E-02
   2.02253294      0.697652996       3.26937251E-02
   2.02722597      0.622025490       3.27269472E-02
   2.03191900      0.646058679       3.32634784E-02
   2.03661299      0.700124979       3.31621766E-02
   2.04130602      0.692803621       3.34654637E-02
   2.04599905      0.636191428       3.34766842E-02
   2.05069304      0.670283079       3.36933322E-02
   2.05538607      0.599660695       3.36188227E-02
   2.06007910      0.680347025       3.37701291E-02
   2.06477308      0.658601999       3.39120552E-02
   2.06946611      0.652101994       3.33683789E-02
   2.07415891      0.561479628       3.24678645E-02
   2.07885289      0.622160673       3.20022106E-02
   2.08354592      0.661839187       3.18250284E-02
   2.08823895      0.608795881       3.08718942E-02
   2.09293294      0.649477005       3.09733544E-02
   2.09762597      0.683645427       3.08248848E-02
   2.10231900      0.638137817       3.09610348E-02
   2.10701299      0.619334221       3.01414821E-02
   2.11170602      0.677275479       3.04358937E-02
   2.11639905      0.624148011       3.05747129E-02
   2.12109303      0.655778110       3.04549672E-02
   2.12578607      0.571135223       3.00667249E-02
   2.13047910      0.661461711       3.02814562E-02
   2.13517308      0.606140316       3.00249308E-02
   2.13986611      0.604941308       3.01258955E-02
   2.14455891      0.616747379       3.00490540E-02
   2.14925289      0.580869913       2.98924632E-02
   2.15394592      0.566451490       2.99035031E-02
   2.15863895      0.577125013       2.99689006E-02
   2.16333294      0.567178488       2.99592633E-02
   2.16802597      0.562739789       2.96940114E-02
   2.17271900      0.590727091       2.96819061E-02
   2.17741299      0.629739821       2.96942033E-02
   2.18210602      0.618193924       2.99422201E-02
   2.18679905      0.577137709       2.92034373E-02
   2.19149303      0.601285696       2.96158232E-02
   2.19618607      0.597801030       2.95037273E-02
   2.20087910      0.559063792       2.98737381E-02
   2.20557189      0.584163308       2.90247761E-02
   2.21026611      0.549102128       2.93639097E-02
   2.21495891      0.557122529       2.95097306E-02
   2.21965194      0.611168385       2.95727625E-02
   2.22434592      0.505183578       2.88671758E-02
   2.22903895      0.582841814       2.93128956E-02
   2.23373199      0.545426011       2.93763746E-02
   2.23842597      0.530020475       2.92060170E-02
   2.24311900      0.523224473       2.89771054E-02
   2.24781203      0.558517873       2.90480796E-02
   2.25250602      0.580114782       2.90845316E-02
   2.25719905      0.545257628       2.92018205E-02
   2.26189208      0.520196378       2.90426705E-02
   2.26658607      0.522298515       2.85601411E-02
   2.27127910      0.555989683       2.89960541E-02
   2.27597189      0.517752528       2.90874727E-02
   2.28066611      0.518887699       2.90365685E-02
   2.28535891      0.524846971       2.83869226E-02
   2.29005194      0.589425981       2.88104508E-02
   2.29474592      0.507431090       2.88054571E-02
   2.29943895      0.492971897       2.89832875E-02
   2.30413198      0.533344328       2.82236114E-02
   2.30882597      0.505336702       2.86829956E-02
   2.31351900      0.549811184       2.86296364E-02
   2.31821203      0.518816292       2.87443325E-02
   2.32290602      0.530183673       2.82405429E-02
   2.32759905      0.546497405       2.85226908E-02
   2.33229208      0.523652971       2.86348090E-02
   2.33698606      0.481586695       2.85863727E-02
   2.34167910      0.527890384       2.81950235E-02
   2.34637189      0.498321414       2.81832870E-02
   2.35106611      0.535206616       2.86323950E-02
   2.35575891      0.478928596       2.82940362E-02
   2.36045194      0.446648002       2.82437168E-02
   2.36514592      0.512267828       2.78621726E-02
   2.36983895      0.506665826       2.84608360E-02
   2.37453198      0.467367291       2.83574611E-02
   2.37922597      0.560048521       2.81533562E-02
   2.38391900      0.463017792       2.78158579E-02
   2.38861203      0.507859707       2.82358639E-02
   2.39330602      0.495142907       2.81388257E-02
   2.39799905      0.485839307       2.82110441E-02
   2.40269208      0.441002488       2.77135242E-02
